Country/Terrain,Acute hepatitis,Alcohol use disorders,Alzheimer's/dementias,Cardiovascular diseases,Conflict/terrorismum,Diabetes,Diarrheal diseases,Digestive diseases,Drowning,Tuberculosis,Terrorism (deaths),Self-harm,respiratory diseaseses,Protein-energy malnutrition,Road injuries,Poisonings,Parkinson,Nutritional deficiencies,Neonatal disorders,Fire/hot substances,Neoplasms,Meningitis,Maternal disorders,Malaria,HIV/AIDS,Drug use disorders,Environmental heat and cold exposure,Exposure of nature,Lower respiratory infectionses,liver diseases,kidney disease,Interpersonal violence
Oman,1334,175,3670,132123,0,14973,1350,8187,3524,821,0,2688,6578,113,56856,667,1297,1572,13415,590,28365,562,737,315,1388,271,284,154,11765,6390,4155,628
Pakistan,293025,45501,244109,7745192,67235,845343,3187522,1523030,125812,2309703,23324,380916,2276479,296019,421970,67217,92715,452930,7753349,75442,3633069,752870,503820,213590,36968,17829,14001,88169,2429268,1039240,874990,344555
Palau,0,0,45,1519,0,453,40,151,60,30,0,87,439,0,102,20,30,0,58,30,791,0,1,0,18,0,0,0,507,93,274,66
Palestine,238,126,6514,148182,45957,20982,1447,11551,1804,936,1342,2414,11655,385,10090,182,1783,421,47062,1283,52021,1853,873,0,223,107,51,10,14718,7711,15772,4906
Panama,110,694,18634,118409,51,21135,5690,19381,4466,6188,35,5252,18302,4247,15935,405,3363,4563,13165,558,79014,1564,1347,55,13521,320,39,201,17881,9991,19391,14278
Papua New Guinea,2680,1780,7989,293524,280,83158,85282,28270,8916,41706,66,5864,150913,6194,47315,3358,3979,6284,99287,16201,102728,21081,19822,35997,64513,435,662,3062,165597,12946,14072,15262
Paraguay,86,4506,24340,213030,69,42714,11878,33720,4752,7227,53,8268,21518,6707,30291,441,4019,6825,37494,1597,118741,3527,4264,21,10234,209,141,166,38303,14728,30102,21556
Peru,2001,10689,119043,681021,9611,89295,74514,300421,29588,118995,3854,26655,148708,56273,131011,6631,27585,60855,221763,10742,706096,9205,30220,5267,56394,4034,4077,3624,508053,156657,158881,35797
Philippines,14501,30253,200646,3724705,24968,518565,407292,674218,148009,863796,6268,101766,778269,109742,272369,6190,45991,124822,878090,27453,1644164,95695,60207,10584,110923,6722,4603,46892,1387188,317620,588007,455790
Poland,409,114388,361248,5233134,42,188412,3874,500794,37071,33190,9,224860,343254,2169,190943,14332,76105,2984,49477,20375,3062100,7276,1019,0,3314,6337,12988,241,266728,243505,142563,30348
